Name,Team,PA,Damage/BBE,Pulled FB (%),90th Pctile EV,Max EV,SEAGER,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Zone (%),Z-Swing (%),Whiff vs. Secondaries (%)
Nick Pratto,TEX,1,100.0,0.0,97.9,97.9,0.0,50.0,50.0,0.0,100.0,66.7,50.0,0.0
Israfell Bautista,TB,2,,0.0,101.7,106.5,0.0,50.0,50.0,0.0,100.0,75.0,66.7,
Matthew Wood,MIL,1,0.0,0.0,97.8,97.8,0.0,50.0,50.0,0.0,100.0,66.7,50.0,0.0
Blake Burke,MIL,2,,0.0,68.4,68.4,0.0,33.3,33.3,33.3,60.0,66.7,83.3,33.3
Joe Olsavsky,ATL,1,0.0,0.0,94.4,94.4,0.0,50.0,50.0,0.0,100.0,66.7,50.0,
Connor Caskenette,MIA,1,,,,,0.0,50.0,50.0,25.0,50.0,42.9,66.7,
Isaiah Jackson,BOS,1,0.0,0.0,89.0,89.0,0.0,50.0,50.0,50.0,100.0,50.0,50.0,100.0
Cameron Leary,ATH,1,,0.0,105.7,105.7,0.0,50.0,50.0,50.0,100.0,60.0,66.7,50.0
Devin Taylor,ATH,1,,0.0,109.1,109.1,0.0,50.0,50.0,0.0,50.0,75.0,66.7,
Darlyn De Leon,CHC,2,0.0,0.0,71.6,71.6,0.0,50.0,50.0,66.7,100.0,40.0,50.0,
Will Turner,BOS,2,0.0,50.0,99.7,101.4,0.0,50.0,50.0,0.0,100.0,66.7,50.0,
Eliezer Alfonzo,LAD,6,25.0,20.0,94.3,100.4,-1.8,35.7,37.5,33.3,100.0,59.1,84.6,25.0
Yonny Hernández,NYM,3,0.0,33.3,92.8,94.4,-2.5,37.5,40.0,25.0,100.0,63.6,71.4,0.0
Kevin Kilpatrick Jr.,ATL,6,0.0,0.0,99.9,100.5,-2.5,37.5,40.0,0.0,100.0,70.0,71.4,0.0
Oswaldo Cabrera,NYY,8,16.7,14.3,97.4,98.3,-2.6,42.9,45.5,50.0,88.9,73.9,52.9,33.3
Kyler Fedko,MIN,5,0.0,0.0,89.6,89.7,-2.8,41.7,44.4,28.6,71.4,61.1,63.6,0.0
Dallas Macias,ATL,3,0.0,0.0,72.4,72.4,-6.5,36.4,42.9,50.0,85.7,55.6,70.0,20.0
Eric Rataczak,MIA,2,100.0,50.0,108.7,109.5,-7.1,42.9,50.0,25.0,66.7,60.0,50.0,0.0
Johnny Olmstead,MIA,3,0.0,0.0,79.3,81.5,-7.1,50.0,57.1,50.0,66.7,42.9,50.0,50.0
LeTrey McCollum,LAA,3,,0.0,104.8,106.5,-7.1,42.9,50.0,25.0,75.0,63.6,57.1,66.7
Wuilfredo Antunez,CLE,3,100.0,0.0,106.7,109.3,-8.3,25.0,33.3,0.0,66.7,77.8,85.7,40.0
José Barrero,BAL,5,0.0,0.0,88.6,89.1,-10.0,30.0,40.0,70.0,80.0,41.2,71.4,42.9
Carlos Sanchez,CIN,2,0.0,0.0,72.9,72.9,-10.0,40.0,50.0,0.0,66.7,71.4,60.0,50.0
Vinny Capra,BOS,3,,0.0,75.0,75.0,-10.0,40.0,50.0,50.0,33.3,55.6,60.0,66.7
Alex Mooney,CLE,5,0.0,0.0,93.6,95.0,-12.1,30.8,42.9,14.3,50.0,61.1,90.9,80.0
Rowdy Tellez,ATL,3,0.0,50.0,87.6,88.5,-12.5,50.0,62.5,33.3,50.0,57.1,50.0,0.0
James Triantos,CHC,4,0.0,0.0,91.0,94.4,-14.3,28.6,42.9,37.5,100.0,55.6,80.0,0.0
Hunter Stovall,PIT,1,0.0,0.0,93.8,93.8,-16.7,50.0,66.7,50.0,,50.0,0.0,
Leonardo Pineda,TB,1,,,,,-16.7,50.0,66.7,0.0,100.0,75.0,33.3,
Andrew Fischer,MIL,1,100.0,0.0,112.4,112.4,-16.7,33.3,50.0,0.0,50.0,75.0,66.7,
Jaylen Palmer,CHC,2,,,,,-16.7,50.0,66.7,50.0,100.0,60.0,33.3,
Tommy Hopfe,COL,3,0.0,33.3,81.6,83.2,-16.7,33.3,50.0,16.7,100.0,57.1,87.5,33.3
Kevyn Castillo,LAA,2,,0.0,90.9,92.5,-16.7,33.3,50.0,50.0,100.0,60.0,66.7,
Kasen Wells,SD,3,33.3,0.0,98.7,98.8,-16.7,33.3,50.0,0.0,100.0,66.7,100.0,0.0
Colin Burgess,ATL,1,,,,,-16.7,33.3,50.0,75.0,100.0,33.3,50.0,100.0
Kevin Made,WSH,1,,,,,-16.7,50.0,66.7,0.0,0.0,50.0,50.0,
Garret Forrester,MIA,1,0.0,0.0,90.1,90.1,-16.7,50.0,66.7,0.0,100.0,75.0,33.3,
Jud Fabian,BAL,5,50.0,0.0,101.0,103.0,-16.7,33.3,50.0,25.0,80.0,78.9,66.7,37.5
Emilio Barreras,MIA,2,0.0,0.0,97.8,97.8,-20.0,40.0,60.0,33.3,66.7,66.7,50.0,0.0
Steward Berroa,PHI,7,0.0,0.0,91.7,91.8,-20.0,40.0,60.0,50.0,88.9,65.2,60.0,14.3
Zach Ehrhard,LAD,5,0.0,25.0,105.7,110.1,-21.4,28.6,50.0,60.0,100.0,58.3,71.4,33.3
D'Angelo Ortiz,BOS,3,0.0,0.0,93.1,93.8,-21.4,28.6,50.0,0.0,83.3,80.0,75.0,0.0
Andy Weber,CWS,2,50.0,0.0,102.4,103.6,-25.0,25.0,50.0,66.7,100.0,57.1,75.0,25.0
Connor Kaiser,KC,2,,0.0,61.9,61.9,-25.0,25.0,50.0,66.7,100.0,50.0,66.7,0.0
Yassel Soler,AZ,4,100.0,0.0,107.8,107.8,-25.0,25.0,50.0,60.0,85.7,64.3,77.8,60.0
Carlos Caro,PIT,1,,,,,-25.0,25.0,50.0,50.0,100.0,42.9,100.0,33.3
Alfredo Duno,CIN,1,,,,,-25.0,50.0,75.0,0.0,100.0,83.3,40.0,0.0
John Peck,DET,4,0.0,0.0,103.5,105.4,-26.7,33.3,60.0,57.1,100.0,41.7,60.0,33.3
Omar Hernandez,KC,3,0.0,0.0,99.3,101.3,-26.7,40.0,66.7,0.0,100.0,88.9,37.5,0.0
Cooper Flemming,TB,2,0.0,0.0,100.9,102.6,-30.0,20.0,50.0,50.0,50.0,71.4,80.0,50.0
Dillon Head,MIA,2,0.0,0.0,95.0,95.0,-30.0,50.0,80.0,66.7,100.0,62.5,20.0,50.0
Jalin Flores,STL,2,0.0,50.0,98.8,100.5,-33.3,33.3,66.7,0.0,100.0,83.3,60.0,0.0
Jose Devers,CLE,3,0.0,0.0,84.1,84.1,-33.3,33.3,66.7,75.0,66.7,66.7,37.5,33.3
Ben Gobbel,LAA,4,0.0,0.0,84.1,85.4,-35.7,14.3,50.0,85.7,60.0,46.2,83.3,20.0
Chase Jaworsky,MIA,3,0.0,0.0,77.9,80.9,-41.7,25.0,66.7,66.7,66.7,62.5,60.0,100.0
Willy Vasquez,BAL,2,0.0,100.0,88.1,88.2,-41.7,25.0,66.7,50.0,66.7,50.0,75.0,0.0
Matt O'Neill,AZ,3,100.0,50.0,101.8,101.8,-100.0,0.0,100.0,100.0,100.0,85.7,33.3,0.0
Logan Davidson,TB,1,,,,,-100.0,0.0,100.0,100.0,100.0,66.7,50.0,100.0
Hansel Jimenez,CIN,1,,,,,-100.0,0.0,100.0,100.0,50.0,75.0,66.7,0.0
Sam Brown,WSH,1,0.0,0.0,95.5,95.5,-100.0,0.0,100.0,,100.0,100.0,50.0,
Jace Bohrofen,TOR,1,0.0,0.0,89.6,89.6,-100.0,0.0,100.0,,100.0,100.0,33.3,0.0
Esmil Valencia,MIA,1,0.0,0.0,72.5,72.5,-100.0,0.0,100.0,,100.0,100.0,50.0,0.0
Marcus Brown,WSH,1,,,,,-100.0,0.0,100.0,,50.0,100.0,66.7,50.0
Yanquiel Fernández,NYY,2,0.0,0.0,96.2,96.2,-100.0,0.0,100.0,100.0,100.0,71.4,80.0,
Billy Amick,MIN,3,0.0,33.3,100.0,102.0,-100.0,0.0,100.0,,100.0,100.0,75.0,0.0
Jack Winkler,HOU,1,0.0,0.0,99.9,99.9,-100.0,0.0,100.0,,100.0,100.0,50.0,0.0
DaShawn Keirsey Jr.,ATL,3,0.0,0.0,89.3,93.5,-100.0,0.0,100.0,,100.0,100.0,57.1,0.0
JD Dix,AZ,2,,0.0,85.9,85.9,-100.0,0.0,100.0,0.0,100.0,75.0,66.7,0.0
Alberth Palma,TB,2,,0.0,61.7,61.7,-100.0,0.0,100.0,,100.0,100.0,50.0,0.0
Ivan Johnson,CIN,2,0.0,50.0,99.7,101.5,-100.0,0.0,100.0,,100.0,100.0,66.7,0.0
Nate Mondou,SD,1,,0.0,95.3,95.3,-100.0,0.0,100.0,,100.0,100.0,50.0,0.0
Rafael Lantigua,TOR,3,0.0,0.0,84.4,85.6,-100.0,0.0,100.0,100.0,100.0,80.0,75.0,0.0
Caden Connor,CWS,1,0.0,100.0,62.5,62.5,-100.0,0.0,100.0,100.0,100.0,66.7,50.0,0.0
Kamren James,TB,1,,0.0,110.0,110.0,-100.0,0.0,100.0,100.0,100.0,66.7,75.0,0.0
Archer Brookman,ATL,2,0.0,0.0,93.7,94.5,-100.0,0.0,100.0,100.0,100.0,80.0,50.0,0.0
Danny Serretti,AZ,1,,,,,-100.0,0.0,100.0,,50.0,100.0,66.7,50.0
Derek Berg,PIT,1,,,,,-100.0,0.0,100.0,,0.0,100.0,66.7,
Óscar Mercado,AZ,1,0.0,100.0,80.7,80.7,-100.0,0.0,100.0,50.0,80.0,75.0,83.3,33.3
Ryan McCarty,TOR,1,,,,,-100.0,0.0,100.0,,100.0,100.0,50.0,0.0
Luke Williams,ATL,1,,,,,,,,,,,,
Francisco Urbaez,CIN,1,,,,,,,,,,,,
Freili Encarnacion,BOS,1,,0.0,64.6,64.6,,,,,,,,
Jake Rucker,MIN,1,0.0,0.0,66.7,66.7,,,,,,,,
Andreimi Antunez,TB,2,100.0,0.0,100.0,103.4,,,,,,,,0.0
Daniel Pierce,TB,1,0.0,0.0,79.5,79.5,,,,,,,,
Michael Chavis,CIN,1,100.0,100.0,96.4,96.4,,,,,,,,
Jhorman Bravo,BOS,1,0.0,100.0,81.5,81.5,,,,,,,,
Joey Meneses,ATH,4,33.3,0.0,99.5,102.6,,,,,,,,0.0
Albert Fabian,SD,1,0.0,0.0,76.9,76.9,,,100.0,100.0,,50.0,0.0,0.0
Ricardo Gonzalez,TB,1,,0.0,85.0,85.0,,,,,,,,
Alfonzo Martinez,TB,1,,,,,,,,,,,,
Lizandro Espinoza,ATL,1,0.0,0.0,97.4,97.4,,,,,,,,0.0
Modeifi Marte,AZ,1,0.0,0.0,99.2,99.2,,,100.0,100.0,,50.0,0.0,
Gavin Conticello,AZ,1,0.0,0.0,95.6,95.6,,,,,,,,
Jacob Humphrey,COL,1,,,,,,,,,,,,
Justin Riemer,ATH,1,,0.0,89.0,89.0,,,100.0,100.0,,50.0,0.0,
Adam Hackenberg,CWS,1,0.0,0.0,96.6,96.6,,,,,,,,0.0
Korey Lee,CWS,1,,,,,,,,,,,,100.0
Matt Scannell,TOR,1,,,,,,,,,,,,
Gustavo Melendez,PIT,1,,,,,,,,,,,,
Hyun Seung Lee,PIT,1,,,,,,,,,,,,
Max Holy,HOU,1,,,,,,,,,,,,
Garrett Martin,NYY,1,0.0,0.0,86.3,86.3,,,,,,,,
Ambioris Tavarez,ATL,3,0.0,0.0,58.4,59.2,,,,,,,,50.0
Heriberto Rincon,NYM,1,,,,,,,,,,,,0.0
Yunior Amparo,NYM,1,0.0,0.0,70.5,70.5,,,,,,,,0.0
Kai Roberts,SD,1,,,,,,,,,,,,
Carlos Mendoza,TOR,1,0.0,0.0,91.3,91.3,,,100.0,100.0,,50.0,0.0,0.0
Raymond Mola,PIT,1,,,,,,,,,,,,100.0
Cade Doughty,TOR,1,,0.0,69.1,69.1,,,,,,,,
Geovanny Planchart,TOR,1,0.0,0.0,96.4,96.4,,,,,,,,
Ahbram Liendo,BOS,1,,,,,,,,,,,,
Alex Binelas,PHI,1,,,,,,,,,,,,
Emaarion Boyd,MIA,3,0.0,0.0,92.2,94.2,,,,,,,,0.0
José Suárez,STL,1,,0.0,101.5,101.5,,,,,,,,
Jake McCutcheon,MIA,1,,0.0,85.3,85.3,,,,,,,,
Tres Barrera,WSH,1,0.0,0.0,72.3,72.3,,,,,,,,50.0
Juan Cabada,CHC,1,,0.0,56.6,56.6,,,,,,,,0.0
Casey Yamauchi,ATH,1,,,,,,,,,,,,
Alexey Lumpuy,CHC,1,,0.0,64.3,64.3,,,,,,,,0.0
J.J. D'Orazio,LAA,1,0.0,0.0,78.4,78.4,,,,,,,,
Andy Perez,COL,1,0.0,100.0,96.5,96.5,,,,,,,,
Justin Johnson,KC,1,0.0,0.0,60.4,60.4,,,,,,,,
Dakota Jordan,SF,1,,,,,,,100.0,100.0,,33.3,0.0,100.0
Maui Ahuna,SF,1,,,,,,,,,,,,0.0
Walker Martin,SF,1,,,,,,,,,,,,
Pedro Catuy,AZ,1,100.0,0.0,107.8,107.8,,,,,,,,0.0
Carlos Virahonda,AZ,1,100.0,0.0,99.6,99.6,,,,,,,,0.0
Kyle Nevin,LAD,1,,0.0,93.9,93.9,,,,,,,,0.0
Jacob McCombs,MIN,1,0.0,0.0,87.7,87.7,,,,,,,,
Cole Gabrielson,NYY,1,,,,,,,,,,,,100.0
Blake Sabol,TB,1,100.0,0.0,96.5,96.5,,,,,,,,
Matt Thaiss,BOS,1,,,,,,,,,,,,
Cam Cannarella,MIA,1,0.0,0.0,100.9,100.9,,,,,,,,
Trey Paige,STL,1,,,,,,,,,,,,
